Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Weve got your back/button_Register (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:45,2022-12-03 16:14:47,2.459s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/input_Email Address_email (3)""), username)",Chrome 108.0.0.0,,,2022-12-03 16:14:47,2022-12-03 16:14:49,1.294s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/input_Create Password_password (3)""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 108.0.0.0,,,2022-12-03 16:14:49,2022-12-03 16:14:49,0.499s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/button_Next (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:49,2022-12-03 16:14:50,0.451s,PASSED
switchToWindowIndex(1),Chrome 108.0.0.0,,,2022-12-03 16:14:50,2022-12-03 16:14:50,0.030s,PASSED
delay(15),Chrome 108.0.0.0,,,2022-12-03 16:14:50,2022-12-03 16:15:05,15.012s,PASSED
"click(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/cookies cross""))",Chrome 108.0.0.0,,,2022-12-03 16:15:05,2022-12-03 16:15:07,2.388s,PASSED
"click(findTestObject(""Object Repository/Page_1 new message - Temp Mail/Mail open""))",Chrome 108.0.0.0,,,2022-12-03 16:15:07,2022-12-03 16:15:10,2.503s,PASSED
"otp1 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp1""))",Chrome 108.0.0.0,,,2022-12-03 16:15:10,2022-12-03 16:15:12,2.348s,PASSED
"otp2 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp2""))",Chrome 108.0.0.0,,,2022-12-03 16:15:12,2022-12-03 16:15:14,2.471s,PASSED
"otp3 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp3""))",Chrome 108.0.0.0,,,2022-12-03 16:15:14,2022-12-03 16:15:17,2.569s,PASSED
"otp4 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp4""))",Chrome 108.0.0.0,,,2022-12-03 16:15:17,2022-12-03 16:15:20,2.573s,PASSED
otp = otp1 + otp2 + otp3 + otp4,Chrome 108.0.0.0,,,2022-12-03 16:15:20,2022-12-03 16:15:20,0.000s,PASSED
switchToWindowIndex(0),Chrome 108.0.0.0,,,2022-12-03 16:15:20,2022-12-03 16:15:20,0.026s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/otp enter""), otp)",Chrome 108.0.0.0,,,2022-12-03 16:15:20,2022-12-03 16:15:25,5.070s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/button_Verify (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:15:25,2022-12-03 16:15:27,2.505s,PASSED
