Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:51:47,2022-12-01 22:51:47,0.025s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account""))",Chrome 107.0.0.0,,,2022-12-01 22:51:47,2022-12-01 22:51:49,1.691s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use""))",Chrome 107.0.0.0,,,2022-12-01 22:51:49,2022-12-01 22:51:50,0.973s,PASSED
"setText(findTestObject(""Object Repository/Page_Create your Google Account/input_Create your Google Account_firstName""), ""Testing"")",Chrome 107.0.0.0,,,2022-12-01 22:51:50,2022-12-01 22:51:51,1.191s,PASSED
"setText(findTestObject(""Object Repository/Page_Create your Google Account/input_Create your Google Account_lastName""), ""NAme"")",Chrome 107.0.0.0,,,2022-12-01 22:51:51,2022-12-01 22:51:52,0.855s,PASSED
"setText(findTestObject(""Object Repository/Page_Create your Google Account/input_Create your Google Account_Username""), ""test.34243143"")",Chrome 107.0.0.0,,,2022-12-01 22:51:52,2022-12-01 22:51:52,0.877s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead_Passwd""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 107.0.0.0,,,2022-12-01 22:51:52,2022-12-01 22:51:53,0.492s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 107.0.0.0,,,2022-12-01 22:51:53,2022-12-01 22:51:54,0.618s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/div_Show password_VfPpkd-RLmnJb""))",Chrome 107.0.0.0,,,2022-12-01 22:51:54,2022-12-01 22:51:54,0.419s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/div_Show password_VfPpkd-RLmnJb""))",Chrome 107.0.0.0,,,2022-12-01 22:51:54,2022-12-01 22:51:54,0.299s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Create your Google Account/div_Show password_VfPpkd-RLmnJb""), 3)",Chrome 107.0.0.0,,,2022-12-01 22:51:54,2022-12-01 22:51:55,0.411s,PASSED
"click(findTestObject(""Object Repository/Page_Create your Google Account/span_Next""))",Chrome 107.0.0.0,,,2022-12-01 22:51:55,2022-12-01 22:51:57,2.514s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create your Google Account/div_91India (91)""), 0)",Chrome 107.0.0.0,,,2022-12-01 22:51:57,2022-12-01 22:51:59,2.050s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/div_91India (91)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:59,2022-12-01 22:52:00,0.300s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/input_Phone number_phoneNumberId""))",Chrome 107.0.0.0,,,2022-12-01 22:52:00,2022-12-01 22:52:00,0.419s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/input_Phone number_phoneNumberId""))",Chrome 107.0.0.0,,,2022-12-01 22:52:00,2022-12-01 22:52:00,0.405s,PASSED
"setText(findTestObject(""Object Repository/Page_Create your Google Account/input_Phone number_phoneNumberId""), ""9847451458"")",Chrome 107.0.0.0,,,2022-12-01 22:52:00,2022-12-01 22:52:01,0.641s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/div_Standard rates apply_VfPpkd-RLmnJb""))",Chrome 107.0.0.0,,,2022-12-01 22:52:01,2022-12-01 22:52:01,0.325s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/div_Standard rates apply_VfPpkd-RLmnJb""))",Chrome 107.0.0.0,,,2022-12-01 22:52:01,2022-12-01 22:52:02,0.417s,PASSED
"click(findTestObject(""Object Repository/Page_Create your Google Account/span_Next""))",Chrome 107.0.0.0,,,2022-12-01 22:52:02,2022-12-01 22:52:08,6.078s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/input_G-_code""))",Chrome 107.0.0.0,,,2022-12-01 22:52:08,2022-12-01 22:52:11,3.148s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/input_G-_code""))",Chrome 107.0.0.0,,,2022-12-01 22:52:11,2022-12-01 22:52:11,0.303s,PASSED
"setText(findTestObject(""Object Repository/Page_Create your Google Account/input_G-_code""), ""020000"")",Chrome 107.0.0.0,,,2022-12-01 22:52:11,2022-12-01 22:52:12,0.734s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create your Google Account/div_Standard rates apply_VfPpkd-RLmnJb""), 0)",Chrome 107.0.0.0,,,2022-12-01 22:52:12,2022-12-01 22:52:13,0.510s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/div_Standard rates apply_VfPpkd-RLmnJb""))",Chrome 107.0.0.0,,,2022-12-01 22:52:13,2022-12-01 22:52:13,0.414s,PASSED
"click(findTestObject(""Object Repository/Page_Create your Google Account/span_Next""))",Chrome 107.0.0.0,,,2022-12-01 22:52:13,2022-12-01 22:52:15,2.513s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/span_Back""))",Chrome 107.0.0.0,,,2022-12-01 22:52:15,2022-12-01 22:52:17,1.624s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/span_Back""))",Chrome 107.0.0.0,,,2022-12-01 22:52:17,2022-12-01 22:52:17,0.304s,PASSED
